_id,plr_type,plr_median,plr_confidence_low,plr_confidence_high,length_years_rounded,power_dc,pv_climate_zone,technology1,technology2,type_mounting,tracking
2731,nsrdb,-1.24,-1.9,-0.34,5,0.5-2 MW,T4,multi-Si,Al-BSF,Ground,FALSE
2732,nsrdb,-1.52,-2.49,-0.7,5,0.5-2 MW,T4,multi-Si,Al-BSF,Ground,FALSE
2733,nsrdb,-1.03,-2,-0.08,5,0.5-2 MW,T4,multi-Si,Al-BSF,Ground,FALSE
2734,nsrdb,-1.22,-2.24,-0.38,5,0.5-2 MW,T4,multi-Si,Al-BSF,Ground,FALSE
2735,nsrdb,-1.33,-2.09,-0.68,5,0.5-2 MW,T4,multi-Si,Al-BSF,Ground,FALSE
2736,nsrdb,-1.21,-2.1,-0.59,5,0.5-2 MW,T4,multi-Si,Al-BSF,Ground,FALSE
2737,nsrdb,-0.67,-1.8,0.17,5,0.5-2 MW,T4,multi-Si,Al-BSF,Ground,FALSE
2738,nsrdb,-1.05,-2.01,-0.22,5,0.5-2 MW,T4,multi-Si,Al-BSF,Ground,FALSE
2739,nsrdb,-0.69,-1.44,0.24,5,0.5-2 MW,T4,multi-Si,Al-BSF,Ground,FALSE
2740,nsrdb,-0.71,-1.52,0.18,5,0.5-2 MW,T4,multi-Si,Al-BSF,Ground,FALSE
2741,nsrdb,-1.08,-1.81,-0.19,5,0.5-2 MW,T4,multi-Si,Al-BSF,Ground,FALSE
2742,nsrdb,-1.23,-2.01,-0.43,5,0.5-2 MW,T4,multi-Si,Al-BSF,Ground,FALSE
2743,nsrdb,-1.6,-2.53,-0.72,5,0.5-2 MW,T4,multi-Si,Al-BSF,Ground,FALSE
2744,nsrdb,-0.82,-1.71,0.12,5,0.5-2 MW,T4,multi-Si,Al-BSF,Ground,FALSE
2745,nsrdb,-1.11,-1.77,-0.18,5,0.5-2 MW,T4,multi-Si,Al-BSF,Ground,FALSE
2746,nsrdb,-0.67,-1.41,0.18,5,0.5-2 MW,T4,multi-Si,Al-BSF,Ground,FALSE
2747,nsrdb,-1.32,-1.91,-0.52,5,0.5-2 MW,T4,multi-Si,Al-BSF,Ground,FALSE
