_id,plr_type,plr_median,plr_confidence_low,plr_confidence_high,length_years_rounded,power_dc,technology1_CIGS,technology1_CdTe,technology1_Unknown,technology1_a-Si,technology1_c-Si,technology1_mono-Si,technology1_multi-Si,technology2_Al-BSF,technology2_CIGS,technology2_CdTe,technology2_PERC,technology2_Unknown,technology2_a-Si,technology2_c-Si,technology2_n-IBC,technology2_n-PERT,technology2_n-SHJ,type_mounting_Canopy,type_mounting_Canopy / Ground,type_mounting_Garage Canopy,type_mounting_Ground,type_mounting_Parking,type_mounting_Roof,pv_climate_zone_T2,pv_climate_zone_T3,pv_climate_zone_T4,pv_climate_zone_T5,pv_climate_zone_T6,tracking,plr_confidence_range,tracking_x_pv_climate_zone_T3,power_dc_numeric
39.0,sensor,-1.29,-1.62,-0.94,5.0,0.5-2 MW,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6800000000000002,0.0,0.0
40.0,sensor,-1.31,-1.68,-0.99,5.0,0.5-2 MW,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.69,0.0,0.0
41.0,sensor,-1.6,-1.91,-1.3,5.0,0.5-2 MW,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6099999999999999,0.0,0.0
42.0,sensor,-1.39,-1.71,-1.11,5.0,0.5-2 MW,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5999999999999999,0.0,0.0
43.0,sensor,-1.22,-1.49,-0.9,5.0,0.5-2 MW,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.59,0.0,0.0
44.0,sensor,-1.58,-1.91,-1.32,5.0,0.5-2 MW,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5899999999999999,0.0,0.0
45.0,sensor,-1.42,-1.79,-1.05,5.0,0.5-2 MW,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.74,0.0,0.0
46.0,sensor,-1.41,-1.74,-1.1,5.0,0.5-2 MW,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6399999999999999,0.0,0.0
47.0,sensor,-0.95,-1.6,0.04,3.0,< 0.5 MW,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.6400000000000001,0.0,1.0
48.0,sensor,-0.19,-1.22,0.64,3.0,< 0.5 MW,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.8599999999999999,0.0,1.0
49.0,sensor,-0.42,-1.21,0.14,3.0,< 0.5 MW,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.35,0.0,1.0
50.0,sensor,-0.62,-1.32,0.45,3.0,< 0.5 MW,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.77,0.0,1.0
51.0,sensor,-0.51,-1.05,-0.01,3.0,< 0.5 MW,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.04,0.0,1.0
52.0,sensor,-0.55,-1.41,0.38,3.0,< 0.5 MW,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.79,0.0,1.0
53.0,sensor,-0.58,-1.27,0.37,3.0,< 0.5 MW,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.6400000000000001,0.0,1.0
54.0,sensor,-0.56,-0.89,-0.28,5.0,> 2 MW,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.61,0.0,0.0
55.0,sensor,-0.69,-0.85,-0.48,5.0,> 2 MW,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.37,0.0,0.0
56.0,sensor,-0.8,-1.13,-0.5,5.0,> 2 MW,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6299999999999999,0.0,0.0
57.0,nsrdb,-1.36,-1.67,-1.05,6.0,< 0.5 MW,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6199999999999999,0.0,1.0
58.0,nsrdb,-0.43,-1.03,0.08,6.0,< 0.5 MW,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.11,0.0,1.0
59.0,nsrdb,-0.32,-0.84,0.23,6.0,< 0.5 MW,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.07,0.0,1.0
60.0,nsrdb,-0.83,-1.18,-0.41,6.0,< 0.5 MW,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.77,0.0,1.0
61.0,nsrdb,-0.69,-1.13,-0.07,6.0,< 0.5 MW,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0599999999999998,0.0,1.0
62.0,nsrdb,-0.57,-0.89,-0.07,6.0,< 0.5 MW,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8200000000000001,0.0,1.0
63.0,nsrdb,-0.7,-1.1,-0.23,6.0,< 0.5 MW,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8700000000000001,0.0,1.0
64.0,nsrdb,-1.83,-2.34,-1.27,6.0,< 0.5 MW,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0699999999999998,0.0,1.0
65.0,nsrdb,-0.73,-1.08,-0.29,6.0,< 0.5 MW,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.79,0.0,1.0
66.0,nsrdb,-0.81,-1.09,-0.4,6.0,< 0.5 MW,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6900000000000001,0.0,1.0
67.0,nsrdb,-0.61,-1.0,-0.15,6.0,< 0.5 MW,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.85,0.0,1.0
68.0,nsrdb,-0.7,-1.05,-0.3,6.0,< 0.5 MW,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.75,0.0,1.0
69.0,nsrdb,-0.32,-0.99,0.45,6.0,< 0.5 MW,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.44,0.0,1.0
70.0,nsrdb,-0.84,-1.27,-0.45,6.0,< 0.5 MW,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8200000000000001,0.0,1.0
71.0,nsrdb,-0.77,-1.2,-0.42,6.0,< 0.5 MW,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.78,0.0,1.0
72.0,nsrdb,-0.78,-1.14,-0.37,6.0,< 0.5 MW,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7699999999999999,0.0,1.0
73.0,nsrdb,-0.81,-1.21,-0.34,6.0,< 0.5 MW,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8699999999999999,0.0,1.0
74.0,nsrdb,-0.73,-1.28,-0.31,6.0,< 0.5 MW,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.97,0.0,1.0
75.0,nsrdb,-0.64,-0.94,-0.16,6.0,< 0.5 MW,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7799999999999999,0.0,1.0
76.0,nsrdb,-0.72,-1.11,-0.38,6.0,< 0.5 MW,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7300000000000001,0.0,1.0
77.0,nsrdb,-0.6,-0.97,-0.19,6.0,< 0.5 MW,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.78,0.0,1.0
78.0,nsrdb,-0.46,-0.8,-0.15,6.0,< 0.5 MW,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.65,0.0,1.0
